,Unnamed: 0,TIC ID,ExoFOP-TESS,Sectors,Epoch [BJD],Period [Days],Duration [Hours],Depth [ppm],Depth [%],Rtranister [RJup],Rstar [RSun],Tmag,Delta Tmag,Paper disp (LC),Paper comm
247,254,61538902,https://exofop.ipac.caltech.edu/tess/target.php?id=61538902,10,1573.686999999918,5.747952,0.10875,12815.0,1.28,0.94,0.9,11.3743,4.73,1,WASP-129 b
248,255,61988212,https://exofop.ipac.caltech.edu/tess/target.php?id=61988212,10,1569.4550000000745,0.555255,0.0675,23416.0,2.34,1.66,1.06,14.3042,4.08,0,"short P, lowSNR, Vshape,UC"
250,257,63303499,https://exofop.ipac.caltech.edu/tess/target.php?id=63303499,"6,7",1469.8549999999814,1.9269900000000002,0.12,370.0,0.04,0.21,1.25,9.701,8.58,0,"pSS,pVshape,lowSNR"
253,260,64071894,https://exofop.ipac.caltech.edu/tess/target.php?id=64071894,4,1414.1639999998733,17.529884,0.09041666666666666,1273.0,0.13,0.28,0.83,9.6438,7.24,1,FSCP
256,263,65212867,https://exofop.ipac.caltech.edu/tess/target.php?id=65212867,7,1492.0409999997355,6.99823,0.17958333333333332,2820.0,0.28,1.39,2.7,8.87759,6.37,1,LCMOD
257,264,65412605,https://exofop.ipac.caltech.edu/tess/target.php?id=65412605,7,1493.3149999999441,4.40107,0.19874999999999998,6830.0,0.68,1.74,2.32,9.50712,5.41,0,pSS
258,265,66356824,https://exofop.ipac.caltech.edu/tess/target.php?id=66356824,"2,3",1355.6009999997914,1.7778,0.0725,3020.0,0.3,0.96,1.34,12.4245,6.30,0,"pCO,Vshape"
259,266,66413476,https://exofop.ipac.caltech.edu/tess/target.php?id=66413476,"2,3",1357.7209999999031,4.3692400000000005,0.06999999999999999,4370.0,0.44,1.04,0.9,12.004000000000001,5.90,1,
262,269,66561343,https://exofop.ipac.caltech.edu/tess/target.php?id=66561343,6,1470.3810000000522,5.31165,0.22333333333333336,3740.0,0.37,0.74,1.35,10.9739,6.07,1,2x period
264,271,66818296,https://exofop.ipac.caltech.edu/tess/target.php?id=66818296,12,1627.126000000164,3.7352849999999997,0.17916666666666667,17208.0,1.72,1.9,1.57,11.0261,4.41,1,WASP-17 b
266,273,67418624,https://exofop.ipac.caltech.edu/tess/target.php?id=67418624,18,1791.6200000001118,1.103694,0.034999999999999996,462.0,0.05,0.34,1.73,8.6344,8.34,1,"Vshape, FSCP"
